1,2380,ANB-112,154,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi,مرحلة الاولى,90,41.18,34.41,3,5,18 Aug 2014,0,0,71,0,71,0,0,0,0,12,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,      50 Food Items,,14-05-2014
2,2382,ANB-070,210,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-2,مرحلة الثانية ,23797,41.202051,34.421411,3,5,18 Aug 2014,0,0,85,0,112,0,0,0,11,2,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,350 Food Items,,14-05-2014
3,2381,ANB-104,164,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-3,مرحلة الثالثة,164,41.234951,34.433919,3,5,18 Aug 2014,0,0,70,0,41,0,30,0,0,23,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,      50 Food Items,,14-05-2014
4,2384,ANB-129,136,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-Smnt,المجمع السكني لمعمل سمنت القائم,23798,41.202051,34.421411,4,5,18 Aug 2014,0,0,73,0,63,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
5,2361,ANB-190,34,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Anga'a,حي العنقاء,23792,41.05878,34.37618,4,5,18 Aug 2014,0,0,21,0,13,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
6,2383,ANB-127,161,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Aubaidi Al Qadima,العبيدي القديمة ,23647,41.202051,34.421411,4,5,18 Aug 2014,0,0,67,0,35,0,14,0,28,17,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
7,2363,ANB-186,55,Anbar,Updated,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Nahda Al-Sharqiyah,حي النهضة الشرقية,23791,41.05878,34.37618,4,5,18 Aug 2014,0,0,36,0,19,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
8,2375,ANB-184,59,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Rumanah Al Gharbiyah,حي الرمانة الغربية,23795,41.0748,34.403923,4,5,18 Aug 2014,0,0,37,0,22,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
9,2376,ANB-138,72,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Rumanah Al Sharqiyah,حي الرمانة الشرقية,23796,41.0748,34.403923,4,5,18 Aug 2014,0,0,32,0,27,0,0,0,13,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
10,2690,ANB-181,65,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Zalla,قرية الزلة,21477,41.455566,34.421179,4,5,18 Aug 2014,0,0,0,0,46,0,0,0,11,8,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
11,2366,ANB-135,95,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al-Amen,حي الامين,106,41.006205,34.389693,4,5,18 Aug 2014,0,0,51,0,28,0,0,0,16,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
12,2377,ANB-193,5,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Albu Hardan,قرية البوحردان,273,41.108437,34.392591,4,5,18 Aug 2014,0,0,0,0,5,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
13,2378,ANB-192,27,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Albu Ubaid,قرية البوعبيد,275,41.091485,34.403801,4,5,18 Aug 2014,0,0,11,0,16,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
14,2379,ANB-189,37,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al-Rabet,قرية الربط,274,41.041886,34.418986,4,5,18 Aug 2014,0,0,26,0,11,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
15,2369,ANB-182,62,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Door Al-Sikak,حي السكك,271,40.973572,34.388794,4,5,18 Aug 2014,0,0,40,0,22,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
16,2365,ANB-082,193,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay 12 Rabee' Alawal,حي 12ربيع الاول,272,40.981134,34.392991,3,5,18 Aug 2014,0,0,125,5,63,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-05-2014
17,2365,ANB-082,10,Baghdad,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay 12 Rabee' Alawal,حي 12ربيع الاول,272,40.981134,34.392991,3,5,18 Aug 2014,0,0,3,0,7,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
18,2360,ANB-191,28,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al Askary,حي العسكري,23793,41.05878,34.37618,4,5,18 Aug 2014,0,0,17,0,11,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
19,2368,ANB-137,77,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al Rashid,حي الرشيد,23788,41.05878,34.37618,4,5,18 Aug 2014,0,0,38,0,39,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
20,2371,ANB-131,105,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al Sham,حي الشام ( الجمعية ),23787,41.05878,34.37618,4,5,18 Aug 2014,0,0,53,5,47,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
21,2358,ANB-134,99,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al Shuhada'a,حي الشهداء,23790,41.05878,34.37618,4,5,18 Aug 2014,0,0,59,2,38,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
22,2359,ANB-139,69,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al Sina'y,حي الصناعي,23794,41.05878,34.37618,4,5,18 Aug 2014,0,0,45,0,24,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,26-01-2014
23,2367,ANB-133,100,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Hay Al-Andalus,حي الاندلس,276,40.9897,34.39097,4,5,18 Aug 2014,0,0,51,3,46,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,14-06-2014
