1,2380,ANB-112,154,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi,مرحلة الاولى,90,41.18,34.41,3,6,14 Sep 2014,0,0,71,0,71,0,0,0,0,12,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,      50 Food Items,,15-05-2014
2,2382,ANB-070,210,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-2,مرحلة الثانية ,23797,41.202051,34.421411,3,6,14 Sep 2014,0,0,85,0,112,0,0,0,11,2,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,350 Food Items,,15-05-2014
3,2381,ANB-104,164,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-3,مرحلة الثالثة,164,41.234951,34.433919,3,6,14 Sep 2014,0,0,70,0,41,0,30,0,0,23,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,Yes,      50 Food Items,,15-05-2014
4,2384,ANB-129,136,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al `Ubaydi-Smnt,المجمع السكني لمعمل سمنت القائم,23798,41.202051,34.421411,4,6,14 Sep 2014,0,0,73,0,63,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
5,2361,ANB-190,34,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Anga'a,حي العنقاء,23792,41.05878,34.37618,4,6,14 Sep 2014,0,0,21,0,13,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
6,2383,ANB-127,161,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Aubaidi Al Qadima,العبيدي القديمة ,23647,41.202051,34.421411,4,6,14 Sep 2014,0,0,67,0,35,0,14,0,28,17,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
7,2363,ANB-186,55,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Nahda Al-Sharqiyah,حي النهضة الشرقية,23791,41.05878,34.37618,4,6,14 Sep 2014,0,0,36,0,19,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
8,2375,ANB-184,59,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Rumanah Al Gharbiyah,حي الرمانة الغربية,23795,41.0748,34.403923,4,6,14 Sep 2014,0,0,37,0,22,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
9,2376,ANB-138,72,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Rumanah Al Sharqiyah,حي الرمانة الشرقية,23796,41.0748,34.403923,4,6,14 Sep 2014,0,0,32,0,27,0,0,0,13,0,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
10,2690,ANB-181,65,Anbar,Same,Anbar,Al-Ka'im,Al-Ka'im SubDistrict,Al-Ka'im Area,Al Zalla,قرية الزلة,21477,41.455566,34.421179,4,6,14 Sep 2014,0,0,0,0,46,0,0,0,11,8,0,0,0,No,No,Yes,Yes,No,Food / Non-food items / Shelter / Cash money,No,      ,,15-01-2014
